repo_name,commit_date,lines_added,lines_removed,change_type,language,login,repo_nature
annalrahn.github.io,2023-05-17 06:43:55+00:00,1.0,1.0,Add,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:39:57+00:00,0.0,1.0,Remove,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:39:25+00:00,1.0,1.0,Add,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:37:08+00:00,1.0,1.0,Add,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:36:37+00:00,1.0,0.0,Add,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:34:59+00:00,37979.0,0.0,Add,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:32:29+00:00,6911.0,0.0,Add,HTML,anra8571,Created
annalrahn.github.io,2023-05-17 06:28:26+00:00,1145.0,0.0,Add,HTML,anra8571,Created
anra8571,2022-07-06 19:35:51+00:00,3.0,0.0,Add,,anra8571,Created
anra8571,2022-07-06 19:32:25+00:00,2.0,2.0,Add,,anra8571,Created
anra8571,2022-07-06 17:58:16+00:00,16.0,13.0,Add,,anra8571,Created
anra8571,2022-07-06 17:58:01+00:00,16.0,0.0,Add,,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 04:36:21+00:00,5.0,1.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 04:36:14+00:00,38.0,134.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 04:23:51+00:00,2.0,1.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 04:22:39+00:00,0.0,0.0,Remove,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 02:52:58+00:00,3.0,0.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 00:48:24+00:00,1.0,1.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 00:40:19+00:00,8.0,4.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-04 00:39:28+00:00,18.0,13.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-03 19:26:44+00:00,67.0,75.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-03 18:57:48+00:00,22.0,18.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-03 18:56:13+00:00,11.0,2.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-03 16:52:31+00:00,18.0,7.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-02 02:29:40+00:00,35.0,9.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 23:59:24+00:00,240.0,96.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 23:50:54+00:00,3.0,0.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 23:48:31+00:00,22.0,4.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 20:59:46+00:00,25.0,4.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 15:45:51+00:00,33.0,6.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 15:42:33+00:00,0.0,3.0,Remove,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 15:41:41+00:00,35.0,4.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 15:37:23+00:00,406.0,5.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-05-01 15:11:23+00:00,0.0,235.0,Remove,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-30 17:04:03+00:00,10.0,0.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-30 16:42:45+00:00,13.0,5.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-30 03:36:05+00:00,2.0,0.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-30 03:28:32+00:00,4.0,1.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 04:27:44+00:00,0.0,0.0,Remove,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 04:17:56+00:00,33.0,4.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 03:58:28+00:00,8.0,6.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 03:48:12+00:00,23.0,14.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 03:45:22+00:00,31.0,4.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 02:03:22+00:00,46.0,6.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 00:53:27+00:00,204.0,41.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-20 00:48:33+00:00,46.0,6.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-17 15:10:22+00:00,118.0,13.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-17 04:28:12+00:00,118.0,13.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-05 21:01:36+00:00,0.0,0.0,Remove,Python,anra8571,Created
csci4448_dungeoncrawler,2023-04-05 04:56:58+00:00,95.0,0.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-03-24 00:30:10+00:00,990.0,0.0,Add,Python,anra8571,Created
csci4448_dungeoncrawler,2023-03-24 00:26:06+00:00,6.0,0.0,Add,Python,anra8571,Created
mne_nirsexamples,2023-05-04 05:47:34+00:00,6.0,318.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-04 05:44:51+00:00,293.0,293.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-04 05:43:16+00:00,389.0,4.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-04 05:42:27+00:00,137.0,31.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-04 01:47:28+00:00,293.0,0.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-04 01:43:31+00:00,85.0,296.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-03 09:06:09+00:00,6.0,0.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-03 09:03:59+00:00,2.0,1.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-05-03 09:02:54+00:00,6766.0,0.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-03-17 15:11:51+00:00,293.0,0.0,Add,Jupyter Notebook,anra8571,Created
mne_nirsexamples,2023-03-17 15:10:33+00:00,1.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-11 06:25:25+00:00,150.0,10.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-10 19:10:22+00:00,141.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-10 18:56:43+00:00,239.0,33.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-10 10:16:56+00:00,31.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-10 10:11:28+00:00,4.0,100.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-10 10:10:08+00:00,294.0,18.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-12-10 10:09:16+00:00,204.0,66.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-30 06:44:57+00:00,1493.0,32.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-30 06:43:50+00:00,45.0,31.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-03 05:27:30+00:00,44.0,56.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-03 05:25:31+00:00,4.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-03 05:25:22+00:00,157.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-03 05:00:12+00:00,51.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-03 02:33:33+00:00,4.0,0.0,Add,Jupyter Notebook,anra8571,Created
synchronousRL,2022-11-03 02:31:12+00:00,462595.0,0.0,Add,Jupyter Notebook,anra8571,Created
allanasta,2022-08-05 09:27:01+00:00,486.0,0.0,Add,Shell,nethajinirmal13,Created
androidworkshop,2018-08-23 15:55:44+00:00,1.0,0.0,Add,,nethajinirmal13,Created
azuresqlphp,2022-07-16 08:47:30+00:00,60.0,0.0,Add,PHP,nethajinirmal13,Created
azuresqlphp,2022-07-16 08:42:24+00:00,1.0,1.0,Add,PHP,nethajinirmal13,Created
azuresqlphp,2022-07-16 08:41:54+00:00,1.0,1.0,Add,PHP,nethajinirmal13,Created
