repo_name,commit_date,lines_added,lines_removed,change_type,language,login,repo_nature
allanasta,2022-08-05 09:27:01+00:00,486,0,Add,Shell,nethajinirmal13,Created
androidworkshop,2018-08-23 15:55:44+00:00,1,0,Add,,nethajinirmal13,Created
azuresqlphp,2022-07-16 08:47:30+00:00,60,0,Add,PHP,nethajinirmal13,Created
azuresqlphp,2022-07-16 08:42:24+00:00,1,1,Add,PHP,nethajinirmal13,Created
azuresqlphp,2022-07-16 08:41:54+00:00,1,1,Add,PHP,nethajinirmal13,Created
azuresqlphp,2022-07-16 05:04:15+00:00,2,2,Add,PHP,nethajinirmal13,Created
azurestatic,2023-07-01 12:57:12+00:00,63,0,Add,HTML,nethajinirmal13,Created
azurestatic,2022-08-05 10:50:11+00:00,1,1,Add,HTML,nethajinirmal13,Created
azurestatic,2022-08-05 10:45:54+00:00,1,1,Add,HTML,nethajinirmal13,Created
azurestatic,2022-08-05 10:43:48+00:00,1,1,Add,HTML,nethajinirmal13,Created
azurestatic,2022-08-05 09:30:03+00:00,49,89,Add,HTML,nethajinirmal13,Created
azurestatic,2022-07-16 09:00:19+00:00,45,0,Add,HTML,nethajinirmal13,Created
azurestatic,2022-07-16 08:57:40+00:00,89,44,Add,HTML,nethajinirmal13,Created
azurestatic,2022-07-15 08:58:17+00:00,40,5,Add,HTML,nethajinirmal13,Created
azurestatic,2022-07-15 08:55:08+00:00,6,41,Add,HTML,nethajinirmal13,Created
azurestatic,2022-07-15 08:51:12+00:00,1,1,Add,HTML,nethajinirmal13,Created
azurestatic,2022-07-15 08:47:36+00:00,45,0,Add,HTML,nethajinirmal13,Created
blockchaindemo,2023-02-23 09:16:00+00:00,1,1,Add,JavaScript,nethajinirmal13,Created
blockchaindemo,2023-02-23 09:15:17+00:00,8,8,Add,JavaScript,nethajinirmal13,Created
blockchaindemo,2023-02-23 09:14:50+00:00,9,9,Add,JavaScript,nethajinirmal13,Created
blockchaindemo,2023-02-23 09:13:27+00:00,3,3,Add,JavaScript,nethajinirmal13,Created
blockchaindemo,2023-02-23 09:13:08+00:00,29,0,Add,JavaScript,nethajinirmal13,Created
blockchaindemo,2023-02-23 09:04:04+00:00,1,1,Add,JavaScript,nethajinirmal13,Created
clouddev,2023-02-14 17:55:11+00:00,1,0,Add,,nethajinirmal13,Created
django,2023-02-15 17:16:44+00:00,0,6,Remove,,nethajinirmal13,Created
django,2023-02-15 17:16:15+00:00,60,0,Add,,nethajinirmal13,Created
django,2023-02-15 17:13:05+00:00,0,0,Remove,,nethajinirmal13,Created
Final1,2022-08-14 04:14:39+00:00,1278,0,Add,Java,nethajinirmal13,Created
flaskazappblob,2023-08-17 10:29:46+00:00,63,0,Add,Python,nethajinirmal13,Created
flaskazappblob,2023-08-17 10:28:51+00:00,1,1,Add,Python,nethajinirmal13,Created
flaskazappblob,2023-08-17 10:02:31+00:00,63,0,Add,Python,nethajinirmal13,Created
flaskazappblob,2023-08-17 10:01:18+00:00,1,1,Add,Python,nethajinirmal13,Created
flaskazappblob,2023-07-11 06:58:23+00:00,4,4,Add,Python,nethajinirmal13,Created
flaskazappblob,2023-07-10 18:22:21+00:00,63,0,Add,Python,nethajinirmal13,Created
flaskazappblob,2023-07-10 18:20:55+00:00,70,0,Add,Python,nethajinirmal13,Created
guvi,2022-06-05 13:02:08+00:00,9,0,Add,Python,nethajinirmal13,Created
guvi,2022-06-05 12:57:15+00:00,2,0,Add,Python,nethajinirmal13,Created
lets-comment,2022-06-05 01:27:46+00:00,2,0,Add,Python,nethajinirmal13,Created
lets-comment,2022-06-05 01:26:42+00:00,407,0,Add,Python,nethajinirmal13,Created
lynk,2018-06-15 08:19:07+00:00,77,0,Add,Python,nethajinirmal13,Created
lynk,2017-09-16 09:52:45+00:00,1,0,Add,Python,nethajinirmal13,Created
mineadd,2021-06-05 10:59:56+00:00,166,0,Add,Jupyter Notebook,nethajinirmal13,Created
mineadd,2021-06-05 09:34:58+00:00,3050,1,Add,Jupyter Notebook,nethajinirmal13,Created
mineadd,2018-06-27 20:13:06+00:00,1,0,Add,Jupyter Notebook,nethajinirmal13,Created
ML,2022-12-11 04:52:15+00:00,1557,0,Add,Jupyter Notebook,nethajinirmal13,Created
ML,2022-02-26 05:05:38+00:00,18392,0,Add,Jupyter Notebook,nethajinirmal13,Created
neoapp1,2023-07-05 08:49:08+00:00,2,2,Add,HTML,nethajinirmal13,Created
neoapp1,2023-07-05 07:50:35+00:00,3,0,Add,HTML,nethajinirmal13,Created
neoapp1,2023-07-05 06:56:44+00:00,63,0,Add,HTML,nethajinirmal13,Created
