repo_name,commit_date,lines_added,lines_removed,change_type,language,login,repo_nature
AI-Books-Assignments-Answers,2022-09-10 12:29:02+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-10 11:38:12+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-10 11:32:02+00:00,1,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-10 11:11:43+00:00,6,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-10 10:04:59+00:00,1,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-09 22:21:18+00:00,3,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-09 21:19:31+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-09 15:52:35+00:00,2,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-09 15:52:09+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-09 15:51:46+00:00,8,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-08 00:00:24+00:00,8,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-07 23:59:53+00:00,52,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-07 23:57:35+00:00,21,12,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-07 23:55:34+00:00,21,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-07 16:11:08+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-07 16:10:53+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-09-07 16:10:40+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-19 08:18:30+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 22:39:47+00:00,5,5,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 22:36:57+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 21:40:28+00:00,2,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 21:34:17+00:00,2,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 21:12:18+00:00,2,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 21:11:55+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 21:01:01+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 19:59:12+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-18 19:58:51+00:00,2,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:36:20+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:35:51+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:35:38+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:32:31+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:32:01+00:00,2,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:28:06+00:00,53,5,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:24:27+00:00,16,33,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-12 02:22:16+00:00,42,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-11 22:16:51+00:00,5,2,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-10 06:32:24+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-10 06:32:09+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-10 06:31:54+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-10 06:31:22+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-09 21:19:14+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-08 02:00:26+00:00,2,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-08 01:59:55+00:00,6,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-08 01:52:52+00:00,1,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-08 01:52:27+00:00,3,3,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-08 01:51:46+00:00,18,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-07 03:25:03+00:00,3,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-07 01:36:34+00:00,1,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-07 01:36:14+00:00,3,0,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-06 18:16:58+00:00,2,1,Add,,youssefHosni,Created
AI-Books-Assignments-Answers,2022-08-06 18:16:29+00:00,1,0,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-12-25 16:09:37+00:00,0,1,Remove,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-12-25 16:05:16+00:00,2,2,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-11-25 13:39:06+00:00,7,0,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-07-21 18:37:17+00:00,4,0,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-07-06 16:23:10+00:00,1,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-07-05 16:43:28+00:00,1,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-28 15:33:46+00:00,1,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:23:46+00:00,3,6,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:23:15+00:00,13,0,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:16:53+00:00,4,0,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:15:28+00:00,7,7,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:03:50+00:00,3,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 01:02:16+00:00,0,0,Remove,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 00:25:20+00:00,13,1,Add,,youssefHosni,Created
Awesome--Data-AI-careers-Roadmaps,2023-06-26 00:21:42+00:00,23,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2024-02-03 22:09:05+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-12-27 09:37:22+00:00,2,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-12-13 22:28:13+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-12-13 22:22:55+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-10-01 08:17:37+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-08 01:09:14+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-08 01:07:51+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-07 23:34:34+00:00,5,3,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-01 14:36:52+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-08-01 14:31:44+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-07-31 23:57:22+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-07-05 18:11:17+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-28 15:33:01+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-24 15:01:00+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-22 22:12:06+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-20 15:17:41+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-19 09:44:28+00:00,7,6,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-13 23:28:05+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-13 19:38:04+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-08 20:45:45+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-07 17:39:02+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:26:09+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:25:48+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:14:08+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-06 04:13:42+00:00,2,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-05 05:43:18+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-06-01 12:41:12+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-28 05:38:39+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-27 19:06:40+00:00,1,0,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-27 14:12:38+00:00,1,1,Add,,youssefHosni,Created
Awesome-AI-Data-GitHub-Repos,2023-05-23 22:26:05+00:00,1,0,Add,,youssefHosni,Created
